stars,review
5.0 out of 5 stars,"









  
  
    
  I have many fire sticks.  As well as an original Fire TV, and 2nd gen Fire TV Cube.  All work great.  First gen sticks are really slow now though; don't use them really anymore (sometimes bring them while traveling to use with hotel TV's).I bought this new lite version because I have a portable projector that I use with fire sticks.  I usually used the old gen 1 fire stick, which again, was slow.  This new firestick is super fast (equal to the Firestick 4k) and works great with my projector.  While using the projector I have no TV or Volume to control with a remote; so, I didn't need those functions.  My projector also only puts out 720.  So again, no need for the 4k.  If you want a Firestick that will last the longest, and provide the best picture, get the 4k stick.  But, for some people, like for my uses, this lite version fits my needs perfectly.

  
"
1.0 out of 5 stars,"









  
  
    
  This is not my first fire stick. They wanted to send me a refurbished stick to replace my brand new one. Would not replace with a new one. Prices fluctuated since purchase. They said they would look into it and call me back at an agreed upon time. They did not. Very dissatisfied with this purchase. It is like they didn't want to help because I purchased it on sale. ....

  
"
5.0 out of 5 stars,"









  
  
    
  Oh my...I shouldn't have waited so long to purchase.I wasn't sure if I needed it but now I don't know what I would do without it.It was super easy to connect to my TV and setup.It plugged right in and then I was ready to watch my shows in under 10 minutes!

  
"
1.0 out of 5 stars,"









  
  
    
  Just got it today and it's stuck on ""Checking for updates"". I have been unplugging and plugging back in for the last hour.

  
"
1.0 out of 5 stars,"









  
  
    
  if you use some of the older Apps such as Sling Player this version will not work, spent over an hour with Support they sent replacements. Still do not work, there must have been some change in the ""remote control"" code which the developers of this version neglected to tell the App guys and never bothered to test completely.Suffice to say this will probably be never fixed as the App developers are either dead or millionaires and couldn't care less, and Sling will not know where the code is anyway.  Amazon will deny the problem because no one there can understand what the users are sayingAfter this review, finally got to someone in support, that told me that despite this being the ""2020"" edition it is still a 1st Generation Fire Stick, not that he actually said that I had to parse that info from a 20 minute conversation.To cut a long story short there are Apps this version does not support, good luck finding a list, as the Rep have to call who knows who to find out himself, he said the info in on their site somewhere but despite his protestations I cannot find it anywhere.The limitations associated with this device should be emblazoned on the product page, as Amazon demands of all those who sell on their site.

  
"
4.0 out of 5 stars,"









  
  
    
  I have two t.v.s now and have a Firestick with Alexa that changes the volume and turns the t.v on and off.  I thought since this one was made in 2020 it would do the same.  I saw the little t.v. icon on the remote and thought that was the button to turn the t.v. off. My bad. It does exactly what it is supposed to do but I feel kinda dumb for thinking this 2020 version would be better than my old one from last year that handles both the volume and the t.v. turning on and off. I guess I have to use two remotes. No biggie.

  
"
4.0 out of 5 stars,"









  
  
    
  Just purchased for use with a projector for outdoor family movies. All are working well - both sound and picture. Only disappointment so far is there does not seem to be a supported Xfinity app - anyone know why? I hope this gets added soon so I can watch live TV as well.

  
"
5.0 out of 5 stars,"









  
  
    
  Works like a charm!  Setup was a breeze.  Be patient while it checks for updates.  Got Prime video, Netflix, Hulu all up and running.

  
"
5.0 out of 5 stars,"









  
  
    
  Have purchased several Fire TV sticks in past. Just purchased this new ""lite"" version of it for an additional television of mine. Works just as well as any other version of the Fire TV Stick. Super easy to set up and get started with it. Highly recommended

  
"
5.0 out of 5 stars,"









  
  
    
  Firestick lite? I wouldn't say so. This version of the fire stick has all the features of a regular firestick without Dolby quality sound, volume controls, and a power button.Pro’s• It still has 1080p HD quality video, quad core processor and 802.11 AC wifi connection.• Quad core CPU 1.7Ghz• 1Gb DDR4 RAM• 8 gig internal storage. A small portion is of it is used for the OS. So it more like 5 gig for applications.• It’s running the same Fire OS 7.2.2.3 as the regular FIrestick.• Dual band WiFi AC.Alexa voice remote.Con’s (difference) what’s new?- No IR remote control. What this means is:- No power control for TV, or other devices.- No volume buttons for TV.This is what makes it Lite because you don’t get the standard 2nd generation remote.- No Dolby vision- No Dolby Atmos sound. Has Dolby digital+ stream service button.Kind of like a hot key for all your streaming services like Netflix, Disney+, and Hulu.For the price point you won't even miss the volume buttons. And for a person just getting into streaming devices this is the least expensive option compared to all the other devices on the market period. If you've never had streaming device at all you won't miss anything at all.Now if you're not new to streaming devices and you've Hey experience with Amazon products you might just miss the volume control and power buttons, but it's not a big deal.I've had every Amazon device there is from the first gen firestick, the 4K stick to the fireTV cube. I know all the features, the in and outs, and tricks on how to use each and every one of these devices, so when they came out with the lite I had to try it. It doesn't disappoint. It is the same fire stick but just try to imagine, or remember the fire stick before 4K, and before the power options and volume remote the IR features. It actually has the same power, and performance as the 4K Firestick, just 1080p HD. This was just a way for Amazon to corner the market by having the cheapest streaming device on the market ahead of all the new competition bringing out streaming devices. And again, it does not disappoint. It’s also faster than the standard 2nd gen Firestick, so if you have a 2nd gen this is a very economical upgrade.• With the lite there's no cheaper device this good on the market, and no reason to buy any other device on the market if you are just getting started, and now Amazon has a device for all price points, this is the economy Amazon package.Great job Amazon!

  
"
5.0 out of 5 stars,"









  
  
    
  With a VPN, you can watch any NETFLIX ""International"" Movie or TV show, not just U.S. content.-The Netflix International content is HUGE:  iRobot, Bourne, Friends....It is also Perfect for Vacations, especially outside of U.S.-I set it up with ExpressVPN and my paid programs, so I can watch from anywhere.-Hulu Live, Prime Video, Netflix and Youtube.  More than enough :o)Recommended Hardware:- amzn.com/dp/B01HYUQVVA - HDMI Adapter $4- amzn.com/dp/B07WT3GLF8 - Ethernet Hub w 2.0 Ports - Plus - USB OTG w Power Port $15- amzn.com/dp/B088R1Q78V - Remote w Keyboard $9Roku will Not Work - No VPN

  
"
5.0 out of 5 stars,"









  
  
    
  Spectrum's move to all-digital was my breaking point with my ever-increasing cable bill.  I have six televisions, only two of which were using boxes, and this change would mean that I would have to rent an additional four.  I have two Apple TV boxes and one Amazon Firestick, and can say that this is much speedier and more reliable than either of them.  I've been trying it out for about a week now, and am confident in dropping Spectrum at the end of this billing cycle.By the way - I see that some reviewers have complaints about customer service trying to charge them for setting up the Roku, or for adding or dropping channels, or for troubleshooting.  This is a scam perpetrated by someone with nothing at all to do with Roku.  An outside entity was able to create a fake Roku site that topped the list when googling ""Roku.""  The phone number you would call if you pulled it from this website was fake and, again, had nothing to do with Roku.  Roku was the main victim in this scheme, it's cost them negative feedback all over the internet.  Just DON'T google Roku and call any number you find at the site until this is straightened out.  Look for a number on the documentation sent with your device.  If anyone at the other end of the call tries to charge you for any of these things, you haven't reached the legitimate Roku support guys.

  
"
5.0 out of 5 stars,"









  
  
    
  There is no volume but we bought the universal remote that the fire stick lite attaches to the back of for my parents. It was a WIN WIN!! They are tech challenged to the Nth degree and it was the best combination we could find. It created one remote. The universal remote controls the tv volume, input for devices, their hdtv antenna, and then they flip it over for the fire stick lite. It was the best combination we could find! The universal is made by Phillips and the fire stick attaches to the back. You have to try it if you need volume control and access to multiple devices.

  
"
1.0 out of 5 stars,"









  
  
    
  I got this as Black Friday deal and am disappointed. Roku is still the industry standard and they will remain so as long as competitors like this put out subpar products.Likes:Easy setupAmazon integrated (obviously)AffordableDislikes:Long FW update out of the box on a device that was only released two months ago.UI - not intuitive and hard to tell what your cursor is highlighting.Slow response from remote compared to all other remotes ever used.Unstable apps. I've had to reset the device when a stream I was watching froze. It did this three times in the 6 hours I had been using the device.If you don't need this for a specific reason ( like twitch) then go with a Roku.

  
"
1.0 out of 5 stars,"









  
  
    
  This specific model used up my entire wifi data for the month in just 5 days of use. I hadthe previous model for years and never experienced this problem. Be on the lookout if you don’t have unlimited wifi in your house!

  
"
1.0 out of 5 stars,"









  
  
    
  Since most of my OTA viewing is on the sub channels that mostly broadcast in 4:3 aspect ratio. I am very disappointed that the Fire TV line does not allow for the native aspect ratio to come through. This is not an insignificant issue to a lover of the old TV shows. It causes the video to stretch to fit the screen and distort the image. This is the only product line like this I have ever heard of that does not let you get the native aspect ratio. I have many shows that I am going to have to continue to record and watch on the tuners of my PC instead of the new FireTV  Recast and Fire sticks I just purchased. The main purpose of the purchases was to save the PC from over work to just record TV. I never even thought to check on this issue before purchase since only an uneducated designer would even think to hamper a system in this matter. It makes me rethink all of the other Amazon Echo products I have on hand. Some of them still in the return window. I am going to give it two weeks in the hopes that somewhere I can find a solution, if not I will have to return it all.Update-12-18-2020: Lowered to one star. Latest software update changes the controls for Live TV which was a big mistake. Will say more on review if Fire TV recast.As for the FireStick the menu is now less responsive. Most things take longer to do. Once again Amazon shows the lack of understanding real people.

  
"
3.0 out of 5 stars,"









  
  
    
  I have had a roku for 5 years almost and it was sooooooo slooooooow. as soon as I got the FIre stick it was a breath of fresh air. I love how fast this thing is. I Love watching anime but when My roku crapped out on me I had to use my smart tv but for some reason funimation would not work it would be so dang choppy. I'm so happy to be watching funimation again.CRITICAL UPDATE: so I'm not sure if anyone else is having this issue but it seems like if you use this product for too long a period of time it starts to freeze and lock up and then I have to restart it in the settings. I have a 300+ mbs download speed it shouldn't be doing this. I have to re-evaluate the stars i have it. I can't do 5 I can only do 3 not the best product amazon has made at all.

  
"
1.0 out of 5 stars,"









  
  
    
  This fire stick has to be rebooted every time it's used (unplug, wait, reenergize) the other fire sticks I have (3) only need  the occasional rebooting. Smart tv here I come!

  
"
1.0 out of 5 stars,"









  
  
    
  No sound, displays a black screen after 5 minutes, can't even open netflix. Im returning this.

  
"
1.0 out of 5 stars,"









  
  
    
  I purchased this fire stick through Target as the one on amazon was sold out and I'm really hoping what I got was a lemon.The firestick constantly has to be unplugged and restarted for it to work and the remote has really poor connectivity - to the point where it's unusable.  Nothing is quite as frustrating as standing two inches away from a device and the remote still triggers no action.Super bummed about this product.

  
"
2.0 out of 5 stars,"









  
  
    
  I bought this Firestick ""LITE"" thinking it would be easy for my 84 year old Mom to use. I personally have 2 old Roku boxes. I'm going to have to give her one of the Rokus and take the Firestick myself and see if I can get past the HEADACHE of not having all this unasked-for sh_t on it. It streams when I haven't chosen an APP, much less a show. It just won't shut up! I want to be silent and not MOVE while I choose my shows. But nooooo, it's constantly running previews or something, in the background while I try to obtain apps that should have come already on it! Why was PBS not on it already? Why is Netflix not already on it? Had to download both of those. The interface is just too busy, way too busy. Can't FIND the forest for the trees. God I wish I had just bought another ROKU. Going to see if I can return this.

  
"
4.0 out of 5 stars,"









  
  
    
  Read this review if you care about if your ISP limits data use.A little background I am a long time cord cutter, used different devices over the years. Decided to switch due to new service only works on Roku. We use Comcast and have 1TB monthly data limit before fees hit. I also monitor using my routers traffic analyzer to see what is sucking up all my data. After using the Roku Streaming Stick+ for a few days noticed a spike in data use at AM hours and isolated the usage to my new Roku. This version of Roku has a power button to control your TV's power (very handy) Also the Roku can be powered via TV USB or external power supply if your TV's USB ports are too weak. My Roku is plugged into a power supply.**Heres the rub** So by force of habit when I finish watching TV I have been hitting the power button, TV goes off as expected, but the Roku continues to stream the streaming service I was accessing. (disclaimer only tested Prime and PSVUE so far) My router confirmed the damn thing streamed all night long (all night....all night long, dancin in the streets) with the TV off. Also confirmed by just turning the TV off and back on, what ever is being watched is still rolling.**the solution** To date I can't find a setting to time-out based on the Roku nor a method to automatically switch to standby when the TV shuts off without replacing a power strip. So my solution to date is  MAKE SURE TO HIT THE HOME BUTTON BEFORE POWERING DOWN THE TV.Other than wasting my internet data it seems like a solid device will post an update if another solution presents itself.

  
"
1.0 out of 5 stars,"









  
  
    
  The Roku Streaming Stick + worked OK, but soon after installing it, other WiFi devices began to get kicked off the network.  I noticed in the android WiFI analyzer app that someone had brought up a WiFi access point on the same channel as mine. :(  It was also transmitting at a higher power than mine.  I soon realized that it was the Roku stick's WiFi Direct connection to its remote.  I tried changing my WAP to a different channel, but the Roku followed it there.  I tried changing from 2.4 to 5Ghz, but it also followed my access point to the new frequency/channel.  I reached out to Roku tech support, and they suggested that I change channels on my WAP...which I'd already done.  I informed them that I'd already been down that rabbit hole and they said to try a free HDMI extender?  The stick was on a 3 foot extender already.  Roku used to have an option in the firmware to try to correct this issue, but they've removed it.  I would have given 2 or 3 stars if they'd been more helpful.  But as it is, I must highly discourage anyone from purchasing this product until they fix the WiFi design/firmware.  I hope they do fix it.  If not, I'd probably go for an older Roku model with an infrared remote.

  
"
1.0 out of 5 stars,"









  
  
    
  Immediately right out of the box I had nothing but problems with the Roku remote: the ""UP"" arrow on the scrolling cross only worked about half the time (it would make the ""ding"" sound when pushed but wouldn't move anything on the screen) which for a streaming device is completely unacceptable. Think about how much time a person spends scrolling through menus! So thinking this was simply a defective remote, I bought another brand new Roku Streaming Stick+ and took the remote out of the box and synced it with my system and guess what? This time the ""Left"" button on the scrolling cross only worked about half the time (again it would make a sound but wouldn't actually do anything on the screen) AND the power button did a ""double tap"" about 75% of the time: If the TV was on and I pushed the power button I would hear two ""clicks"" and the TV would turn off and then turn back on again! Same thing if the TV was off and I hit the power button- I would hear two clicks and the TV would turn on and then turn back off. Again- completely unacceptable.And the worst part about this is that Roku has known that their remotes are cheap and inferior quality and have done NOTHING to fix them! In reading older reviews on Amazon (something I should have done before purchasing) tons of other customers have complained about the low quality of Roku remotes for the last 18 months, and while Roku has commented on a few of these reviews offering only lame platitudes, they have done NOTHING to actually fix the problem.ATTENTION ROKU: It is clear that you're losing thousands of customers due to the shoddy quality of your remote controls...maybe that's something you should address??In the meantime I returned both my Roku Streaming Stick+ and bought the Amazon Fire TV Stick 4K and found it is FAR SUPERIOR!!!!! The remote is snappy and works flawlessly, and the interface is also FAR SUPERIOR, so thank you Roku for steering me away from your brand so I could discover that the Fire TV Stick 4K is a much better option.If you're considering purchasing a Roku product, do yourself a favor and read the incredible amount of negative reviews on here BEFORE you make a purchase decision and save yourself the hassle of having to go through what I did with their bottom-tier level, inferior quality junk. (Also note that Roku's ""Customer Service"" is non-responsive and non-helpful).

  
"
1.0 out of 5 stars,"









  
  
    
  Extremely disappointed with this product. I have owned it for 4 months. About a month ago it began malfunctioning. Periodically the unit will turn on, work for about 30 seconds, then simply go dead. Usually when this happens it will occur at least two times in a row. I called support and their solution was to plug it into a different HDMI port. This did not solve the problem. So I have to make another call to hopefully get a 4 month old unit replaced because it is defective. Also, the remote drains the batteries every 3 weeks. I should have purchased a fire tv stick. Don’t waste your money.

  
"
1.0 out of 5 stars,"









  
  
    
  Streaming stick was great at start - hooked up easily and worked well; good picture and sound.  Good remote that also handled TV power and sound volume.However, one day it just failed - wouldn't connect to WiFi.  A WiFi network with other devices and with the main hub just two feet from the Roku.  Signal quality was very high and speed tests on WiFi were strong (100Mb)Text to Amazon ""Get Product Support"" got a quick, polite chat started.  All the usual ideas: reboot, repower, reconnect, reset, redo password.  After 10 minutes, the advice was to contact Roku.Roku site was a set of videos on setup.  And, their policies on warranty/replacement only apply for 30 days.So I had a great 3 month product but now it is useless (not even large enough to function as a paperweight!)

  
"
1.0 out of 5 stars,"









  
  
    
  I have had a bad history with 4K Roku devices. With my new 4K system I tried to use first the Premiere+, then the Ultra, and finally the Streaming Stick+, all played through the A/V receiver in my living room's 7.2 system. All three devices failed with HDCP 2.2 errors. Despite the fact that all components in my new system were 2.2 compatible, the Rokus would stop the entire system because its software apparently imagined that I had a recording device attached to my receiver. A Stick+ plugged directly into the 4K TV in my bedroom worked fine.I last sent Roku an email about the problem in April 2018. I had long since returned all the devices to Amazon for credit. Then in February 2019, ten months later, I received an email from Roku stating that the software problem had been corrected and that I should be able to use 4K devices. I decided to give it one last chance and bought a Stick+ for the living room. I've had it for about a week and it seems to be working fine.I gave it 4 stars rather than 5 because (a) it took Roku TEN MONTHS to fix this problem and I don't imagine that I'm the only person who experienced it and (b) they put these devices on the market before they were functioning properly.Not everyone plugs their devices directly into their TV, and Roku should have an effective way to correct problems in a timely fashion. None of the other 2.2 compatible devices I have has ever had any 2.2 problems.

  
"
5.0 out of 5 stars,"









  
  
    
  The Roku Streaming Stick+ is simply awesome.  It's super easy to set up, it's powered by your TV, and the signal booster that is built in to the USB cable ensures a strong wireless connection.  This thing attaches entirely to the backside of your TV and is completely out of sight once it's installed.  I bought this for use with a bedroom TV because I didn't want any unnecessary electronics cluttering up the room, and I couldn't be happier.

  
"
1.0 out of 5 stars,"









  
  
    
  I bought this Roku Streaming Stick+ in October 2018 to replace my old FireStick which was really slow and old and frustrating to use because it would suddenly stop in the middle of a show and go back to the home page.The Roku was easy to set up, and worked great for a couple of months. In December we had the first problem: it wouldn't work: just showed a bad picture with zigzagging lines. We reset it and couldn't get the picture to show up at the right size: it was enormous. Called tech support, and the guy helped us fix that problem. Then another problem presented: no audio and Roku remote won't control TV. I don't remember what I did to fix it, but it started working again. Good deal.We were gone for a week during the holidays. Came back and the Roku worked fine up until 2 weeks ago. Same problem as before. My husband was home, and he did what the technician had us do the first time: reset the unit and start over with setup. All good, but now the audio is not coming through again and we can't control the TV with the Roku remote. I couldn't remember what I did to fix it, so I called tech support. The guy had us try several things to get the remote to work and the sound to come through, but nothing worked. He said he could replace the unit, but we would have to return the one we have before they would send out the new one, and that I would get an email explaining how to ship it back and where to ship it. A day or two later, I got an email telling me that my case was ""under review."" Then I got another couple of emails asking me how they had done! I told them that I was not happy and explained about never getting an email with return merchandise information. That was 2 days ago.They sent another auto-reply. Today, I looked and they had send another ""how did we do"" email. I clicked on the link to let them know that my issue is still unresolved, and their web page says that they closed my ticket!!!

  
"
1.0 out of 5 stars,"









  
  
    
  Don't normally write reviews unless they are extraordinarily good or extraordinarily bad.  For what it worth, here is a Two-in-One review to illustrate the opposite ends of the spectrum.The Extraordinarily Bad:  Roku Customer Service & Technical SupportIn an effort to cut the cord and start streaming, did my research to determine the best content (Amazon Prime Video, Netflix, DirecTV, Youtube TV, etc.) and hardware (Amazon Fire sticks, Apple TV, Google Chromecast, Roku's, etc.) required for the entire family to enjoy.  From the hardware perspective, settled on Roku sticks because Youtube TV did not (at the time) support Fire sticks for obvious reasons.  Started as a trial with a Roku stick against the some streaming providers listed above, and it worked quite well.  So ended up buying a total of 5 Roku streaming sticks (3 to keep and 2 to share) on various occasions in 2018 on Amazon.  One of them stopped working after a few months but still was under 1 year warranty.  Spent a few days troubleshooting by mixing and matching the configurations of the 3 sticks against 4 different TV sets under 2 different WIFI networks.  The results consistently showed that the stick in question (the stick itself and not the remote nor the TVs nor the WIFI networks) worked intermittently for a few minutes then the TV screens went blank.Contacted Roku as follow:1. Logged a ticket on Roku website indicating the problem as such.  No response for several days until after calling them in next step.2. Called technical support explaining the problem and the troubleshooting process above.  They said they'll send an HDMI extender.3. Received the extender 2 weeks later, but it did not work at all - no audio, no video, just blank screen.  The problem was actually worst since using the stick without the extender would at least work for a few minutes then stopped.4. Called them the following day. They admitted that they had sent a bad part and will make sure to send a ""working"" HDMI extender.  It never arrived.  Probably never send it.5. After 2 weeks of waiting, called them again and explained the troubleshooting process all over again (for the 4th time).  They said they will send a remote.  With patience running thin, asked the tech support rep why would she send a remote when the stick is the problem.  After a brief silence, she asked to wait for a few minutes then came back and said an email with instructions on how to return the stick for a replacement will be sent.6. Three days later, still no email.  And no, it's not in spam folder.  Simply put - they lied the second time.  Frustrated but decided to give them a final chance to rectify the problem and called one last time.  After 25 minutes, a rep finally answered then the line got cut off immediately.  Coincidence?Bottom line:  The problem had been reported for over a month and still no resolutions.  The average wait time for each call is 30+ minutes due to the so called ""heavy call volume"".  They sent bad part and lied their way out of honoring their warranty.The Extraordinarily Good:  Amazon Customer ServiceFrustrated and planned to just throw away the stick, but also decided to give Amazon a call to inform the type of service Roku had provided with the hope that if this is the norm, Amazon will think twice before selling Roku products on its site.  The Amazon CS rep apologized, offered a refund, and will work with Roku on the issue.  Didn't expect that!  After all, this is a Roku's problem not Amazon's.  The call took less than 5 minutes.  Problem solved.  Thank you Amazon.  This is another reason for being a Prime member.In the streaming war against giants like Amazon, Google, Apple, Disney, etc. and with the type of service Roku had provided, good luck Roku.  For your survival in this crowded space, you (Roku) should take a page out of Amazon's playbook and learn from it.  Otherwise, you will be crushed like a cockroach that you are.Update:Finally received the Warranty Swap email from Roku four days after the call in step 5 above (a few hours after posting this review). Decided to ignore it as so much time had already been wasted. It's unfortunate that the device worked quite well (when and if it worked), but the customer service is unbearable.

  
"
1.0 out of 5 stars,"









  
  
    
  BUYER BEWARE - I've purchased Roku players in  August 2012, May 2015, and this new Stream Stick+ in 2018.  When I had a problem ""activating"" my new Streaming Stick+, I was given a number to ""Contact Support Toll Free to Activate Instantly"". I called the number and was told that since I had already registered 2 other Roku devices, in order to Activate this 3rd device, I would need to pay $70.00 to have a PREMIUM account. I told them that I didn't need nor want a PREMIUM account. I asked the customer service rep, to deactivate the first Roku I purchased in 2012 and then I would only have 2 registered devices on my account. I was told that - (1) Even if I deactivated a previous Roku player or (2  )if I opened a new account, I would still have to pay the $70.00 in order to register my Streaming Stick+ .So that is how Roku rewards it's returning long-time customer, by charging them a fee of $70.00 to activate more than 2 of their Roku devices!  So, in addition to paying for the device itself, you now have to pay an extra $70.00 to use it!!!I am hoping this review will alert other potential buyers to Roku's new policy of rewarding their repeat customers.Patti

  
"
1.0 out of 5 stars,"









  
  
    
  We bought this Roku Streaming Stick+ thinking that all we had to do was plug it in and follow instructions. WELL NO! We have a Samsung Smart tv with numerous HDMI slots. We tried ALL of them and the update on the Stick would not load! We kept getting a 005 Network Error. I chatted online with ""Ray"". He stated that I would have to pay Technical support $69 to update the Stick+ . He explained that there have been too many errors updating their products so the company decided that the customer cannot update their new devices on their own and will now have to pay someone to do it for you! NOWHERE in the reviews I read did anyone state that I would be paying an additional $69 to use this device! So here I have a brand new device which costs $65 and now Roku wants to hold that item hostage and render it useless unless I fork over $69 for an update AND oh yes...that $69 would give me 6 months of free tech support! Yay!? Not gonna happen. I will NEVER purchase an item from this company again. They are way out of their league charging for technical support for an update to a brand new device.

  
"
